rank,videoId,title,channelTitle,publishedAt,region,type,recordDate,url,viewCount,likeCount,commentCount,hashtags,durationSeconds
20,qxRUcnUj0M8,Apple AI vs Galaxy AI Comparison #AppleAI #GalaxyAI #tech #smartphones #AI #Apple #Samsung #review,Custom Adventurist,2025-09-12T02:40:53Z,US,videos,2025-09-17,https://www.youtube.com/watch?v=qxRUcnUj0M8,5537118,105590,1743,,63
1,RM9-6FfZdgg,Shocking! The poor kitten has the Transformer !#shorts  #cat  #ai  #story  #kitten #autobots,kitten Storys,2025-09-14T06:15:03Z,US,shorts,2025-09-17,https://www.youtube.com/watch?v=RM9-6FfZdgg,51417963,300059,106,,17
2,Kgnjwlgf32U,Indian Army officer Saved the Plane Passengers By Throwing the Unclaimed Bag#ai #army,kahani Buzz,2025-09-12T13:30:31Z,US,shorts,2025-09-17,https://www.youtube.com/watch?v=Kgnjwlgf32U,36948642,691422,736,"#ai,#army",32
3,9Ixo2EgTlRE,The soldier saved passengers from aeroplane mid-air crisis! #ai #army #ytshorts,ETC BackLol Facts,2025-09-12T13:30:09Z,US,shorts,2025-09-17,https://www.youtube.com/watch?v=9Ixo2EgTlRE,33010899,0,149,"#ai,#army,#ytshorts",20
4,DPq_GzN9hWU,बिल्लू का मिक्सी में बना जूस 🙀#catsoftiktok​ #cat​ #cute​ #aiart​ #ai​ #poorcat​ #catlover​ #fyp,Ankit 👑,2025-09-11T03:45:00Z,US,shorts,2025-09-17,https://www.youtube.com/watch?v=DPq_GzN9hWU,26035500,0,51,"#catsoftiktok,#cat,#cute,#aiart,#ai,#poorcat,#catlover,#fyp,#top,#1million,#reels,#tiktok,#funny,#1m,#trend,#instagram,#shorts,#kitten,#wtf,#viral,#4,#relax,#spiderman,#philippines,#myanmar,#india,#mexico,#unitedstates,#cheating,#aicat,#cutecat,#4k,#catvelpictures,#cats,#catvel,#marvel",28
5,IO01m122p1o,She Love's The Touch ❤️ pt2 #viral #shorts #ai #aisareedivas,AI Saree Divas,2025-09-10T13:57:11Z,US,shorts,2025-09-17,https://www.youtube.com/watch?v=IO01m122p1o,15023106,42927,138,"#viral,#shorts,#ai,#aisareedivas",6
6,8-v2UNQWqhU,The soldier saved pilot from airplane disaster in air! #ai #army #ytshorts,ETC BackLol Facts,2025-09-13T13:30:09Z,US,shorts,2025-09-17,https://www.youtube.com/watch?v=8-v2UNQWqhU,8449799,0,24,"#ai,#army,#ytshorts",21
7,99nepSPkgfo,Phần 166: Capy và đám bạn nhảy hồ bơi #thientruongdaily #funny #ai #capybara,THIÊN TRƯỜNG DAILY,2025-09-11T10:33:38Z,US,shorts,2025-09-17,https://www.youtube.com/watch?v=99nepSPkgfo,7765613,24679,114,"#thientruongdaily,#funny,#ai,#capybara",8
8,Av45KO6wW4o,Real life Vs AI. Part 21,Jiemba Sands,2025-09-12T13:00:31Z,US,shorts,2025-09-17,https://www.youtube.com/watch?v=Av45KO6wW4o,7626841,187596,470,"#ai,#vs,#reallife",20
9,SLjMh8r9SMo,Husky Puppy's Clever Call for Help! 🐶👀 Mom Saved!...#ai #rescue #wildlife #animals,Catoo Mission,2025-09-10T17:27:16Z,US,shorts,2025-09-17,https://www.youtube.com/watch?v=SLjMh8r9SMo,6960510,15063,13,"#ai,#rescue,#wildlife,#animals",8
10,v5hIeXLZims,😢RUMI was rescued by Mira and Zoey after the incident. #ai #kpop #funny #shorst #kpopdemonhunters,CuteVibes ,2025-09-11T19:00:53Z,US,shorts,2025-09-17,https://www.youtube.com/watch?v=v5hIeXLZims,6921826,42141,15,"#ai,#kpop,#funny,#shorst,#kpopdemonhunters",20
11,U-WOsIR07Gs,The poor kitten and the Transformer Bumblebee save goldfish!#shorts #ai #cat#funny#cartoon#animation,kitten Storys,2025-09-11T07:30:13Z,US,shorts,2025-09-17,https://www.youtube.com/watch?v=U-WOsIR07Gs,6892188,41001,15,,13
12,wWxFQtQ6cZw,चिंटू ने पापा का कोल्डड्रिंक चुराया 🥵 | #viral #facts #shortvideo #ai,SHORTCUT RIXX,2025-09-12T13:12:44Z,US,shorts,2025-09-17,https://www.youtube.com/watch?v=wWxFQtQ6cZw,6686819,24766,1,"#viral,#facts,#shortvideo,#ai",8
13,Bl64UYjozwk,Indian IAS Officer Exposes Dowry Demand in a Wedding 💪❤️ #ai #ias #shorts,Genius Feed,2025-09-10T12:12:12Z,US,shorts,2025-09-17,https://www.youtube.com/watch?v=Bl64UYjozwk,6589450,0,52,"#ai,#ias,#shorts",54
14,CzLYvJPkF-Q,Indian woman soldier saved all the passengers in the plane 😭 #ai #army #airplane #save,ai short time ,2025-09-12T13:31:25Z,US,shorts,2025-09-17,https://www.youtube.com/watch?v=CzLYvJPkF-Q,6396854,63336,34,"#ai,#army,#airplane,#save",23
15,hcM-EnDI3O8,القطه مياو رمت بسبوس من الطياره... #cat  #animation  #ai  #funny  #funnyvideo,Meowverse,2025-09-11T11:47:36Z,US,shorts,2025-09-17,https://www.youtube.com/watch?v=hcM-EnDI3O8,6194958,89828,470,"#cat,#animation,#ai,#funny,#funnyvideo",56
16,EMVzz-k4oV0,AI Monkey vs Electric Hair Dryer #shorts,CrazyVers,2025-09-12T12:36:25Z,US,shorts,2025-09-17,https://www.youtube.com/watch?v=EMVzz-k4oV0,5715138,35897,9,"#ai,#shorts,#funnymonkey,#bathroomdisaster,#viral",37
17,bxxtFn8wegs,Trending Instagram Viral Photo Editing | Google Gemini Viral Photo Editing | Ai photo Editing #ai​​,Manisha Editing 4u,2025-09-12T08:30:31Z,US,shorts,2025-09-17,https://www.youtube.com/watch?v=bxxtFn8wegs,5375784,54406,1815,"#ai,#aiphotoediting,#miniature,#miniaturemotorcycle,#miniaturecor,#chatgpt,#gemini,#photoediting,#viralphotoediting,#viralphotographyshorts,#howtoeditphotoinmobile,#howtoeditphotos,#aiart,#aiediting,#tutorial,#youtubeshorts,#youtubetutorial,#latest2025,#apnatech21,#tech,#tips,#bananaai,#geminiaiphoto,#photomagic,#aicreations,#shortsai,#dailyshorts,#techshorts,#newupdate,#aitransformation",50
18,6WCuBENCt4Y,திருமண நிலைமை #90skids #90sweddingstatusvideo #tamil #aivideo #ai #aibaby #babytalk #viralaivideos,  🌈 #90sKids nostalgia,2025-09-11T02:46:18Z,US,shorts,2025-09-17,https://www.youtube.com/watch?v=6WCuBENCt4Y,4738282,32446,63,"#90skids,#90sweddingstatusvideo,#tamil,#aivideo,#ai,#aibaby,#babytalk,#viralaivideos",9
19,PvwKXzVYxBo,👶 Baby Demands Upgrade from Parents! 🤯 #trending #baby #ai #babyinhospital #shorts #viral,Soft Shock,2025-09-10T22:00:29Z,US,shorts,2025-09-17,https://www.youtube.com/watch?v=PvwKXzVYxBo,4357638,15358,9,"#trending,#baby,#ai,#babyinhospital,#shorts,#viral",8
20,_b7DwwIGbdM,Flavorful Soy Sauce Dispenser Robot #futuristic #robot #technology #humanoid #soysauce #sushi #AI,LOLgpt,2025-09-13T20:55:30Z,US,shorts,2025-09-17,https://www.youtube.com/watch?v=_b7DwwIGbdM,3844713,18842,10,"#soysaucerobot,#richsoysauce,#foodtech,#futureoffood,#cookingrobot,#robotchef,#asmrpouring,#foodsatisfying,#foodierobot,#sushilovers,#kitchenrobot,#dispenserrobot,#foodautomation,#viralshorts,#satisfyingfood,#nodialogue,#oddlysatisfying,#robotbarista,#cleanenergyrobot,#aiinreallife,#breakfastrobot,#shortsvideo,#aieverywhere,#hightechlife,#robotgirl,#relaxingvideo,#satisfyingshorts,#futurevibes,#robotics2025,#soysaucemachine,#robotbartender",12
1,U0FWS4Jrcbs,"Female cat making indian rice,turns out be a fatal game#ai #cat #funny #india #animation #catsnake",Mystery cat ,2025-09-10T15:27:37Z,IN,videos,2025-09-17,https://www.youtube.com/watch?v=U0FWS4Jrcbs,96079554,953813,1300,"#ai,#cat,#funny,#india,#animation,#catsnake",65
2,_0NKbP6rl_Y,carelessness during meat chopping turn into life time sorrow #ai #cat #funny #animation #india,Mystery cat ,2025-09-11T16:07:52Z,IN,videos,2025-09-17,https://www.youtube.com/watch?v=_0NKbP6rl_Y,81013611,915414,1406,"#ai,#cat,#funny,#animation,#india",63
3,RM9-6FfZdgg,Shocking! The poor kitten has the Transformer !#shorts  #cat  #ai  #story  #kitten #autobots,kitten Storys,2025-09-14T06:15:03Z,IN,videos,2025-09-17,https://www.youtube.com/watch?v=RM9-6FfZdgg,51417963,300067,106,,17
4,Kgnjwlgf32U,Indian Army officer Saved the Plane Passengers By Throwing the Unclaimed Bag#ai #army,kahani Buzz,2025-09-12T13:30:31Z,IN,videos,2025-09-17,https://www.youtube.com/watch?v=Kgnjwlgf32U,36948642,691422,736,"#ai,#army",32
5,9Ixo2EgTlRE,The soldier saved passengers from aeroplane mid-air crisis! #ai #army #ytshorts,ETC BackLol Facts,2025-09-12T13:30:09Z,IN,videos,2025-09-17,https://www.youtube.com/watch?v=9Ixo2EgTlRE,33010899,0,149,"#ai,#army,#ytshorts",20
6,DPq_GzN9hWU,बिल्लू का मिक्सी में बना जूस 🙀#catsoftiktok​ #cat​ #cute​ #aiart​ #ai​ #poorcat​ #catlover​ #fyp,Ankit 👑,2025-09-11T03:45:00Z,IN,videos,2025-09-17,https://www.youtube.com/watch?v=DPq_GzN9hWU,26039568,0,51,"#catsoftiktok,#cat,#cute,#aiart,#ai,#poorcat,#catlover,#fyp,#top,#1million,#reels,#tiktok,#funny,#1m,#trend,#instagram,#shorts,#kitten,#wtf,#viral,#4,#relax,#spiderman,#philippines,#myanmar,#india,#mexico,#unitedstates,#cheating,#aicat,#cutecat,#4k,#catvelpictures,#cats,#catvel,#marvel",28
7,IO01m122p1o,She Love's The Touch ❤️ pt2 #viral #shorts #ai #aisareedivas,AI Saree Divas,2025-09-10T13:57:11Z,IN,videos,2025-09-17,https://www.youtube.com/watch?v=IO01m122p1o,15023106,42928,138,"#viral,#shorts,#ai,#aisareedivas",6
8,nrhrkDHdX9E,so cute HAHA ©️to the owner#ccto #eunwoo #ai  #youtube #youtubeshorts #trending #fypシ゚viral #astro,Eunwoocheee Fan 💫,2025-09-10T11:06:49Z,IN,videos,2025-09-17,https://www.youtube.com/watch?v=nrhrkDHdX9E,9092516,90318,1619,"#ccto,#eunwoo,#ai,#youtube,#youtubeshorts,#trending,#fyp,#astro",6
9,ScKRvuDUd2Y,मां को चाहिए थी वॉशिंग मशीन… Hulk उठा लाया हाथी 😂फिर जो हुआ #ai #hulk #hulksmash #hulkbuster #shorts,Chotubot Ai,2025-09-10T13:30:22Z,IN,videos,2025-09-17,https://www.youtube.com/watch?v=ScKRvuDUd2Y,8766304,133342,51,"#ai,#hulk,#hulksmash,#hulkbuster,#shorts,#aivlog",73
10,8-v2UNQWqhU,The soldier saved pilot from airplane disaster in air! #ai #army #ytshorts,ETC BackLol Facts,2025-09-13T13:30:09Z,IN,videos,2025-09-17,https://www.youtube.com/watch?v=8-v2UNQWqhU,8449799,0,24,"#ai,#army,#ytshorts",21
11,99nepSPkgfo,Phần 166: Capy và đám bạn nhảy hồ bơi #thientruongdaily #funny #ai #capybara,THIÊN TRƯỜNG DAILY,2025-09-11T10:33:38Z,IN,videos,2025-09-17,https://www.youtube.com/watch?v=99nepSPkgfo,7765613,24679,114,"#thientruongdaily,#funny,#ai,#capybara",8
12,Av45KO6wW4o,Real life Vs AI. Part 21,Jiemba Sands,2025-09-12T13:00:31Z,IN,videos,2025-09-17,https://www.youtube.com/watch?v=Av45KO6wW4o,7626841,187596,470,"#ai,#vs,#reallife",20
13,SLjMh8r9SMo,Husky Puppy's Clever Call for Help! 🐶👀 Mom Saved!...#ai #rescue #wildlife #animals,Catoo Mission,2025-09-10T17:27:16Z,IN,videos,2025-09-17,https://www.youtube.com/watch?v=SLjMh8r9SMo,6960510,15062,13,"#ai,#rescue,#wildlife,#animals",8
14,v5hIeXLZims,😢RUMI was rescued by Mira and Zoey after the incident. #ai #kpop #funny #shorst #kpopdemonhunters,CuteVibes ,2025-09-11T19:00:53Z,IN,videos,2025-09-17,https://www.youtube.com/watch?v=v5hIeXLZims,6921826,42141,15,"#ai,#kpop,#funny,#shorst,#kpopdemonhunters",20
15,U-WOsIR07Gs,The poor kitten and the Transformer Bumblebee save goldfish!#shorts #ai #cat#funny#cartoon#animation,kitten Storys,2025-09-11T07:30:13Z,IN,videos,2025-09-17,https://www.youtube.com/watch?v=U-WOsIR07Gs,6892188,41002,15,,13
16,wWxFQtQ6cZw,चिंटू ने पापा का कोल्डड्रिंक चुराया 🥵 | #viral #facts #shortvideo #ai,SHORTCUT RIXX,2025-09-12T13:12:44Z,IN,videos,2025-09-17,https://www.youtube.com/watch?v=wWxFQtQ6cZw,6686819,24766,1,"#viral,#facts,#shortvideo,#ai",8
17,Bl64UYjozwk,Indian IAS Officer Exposes Dowry Demand in a Wedding 💪❤️ #ai #ias #shorts,Genius Feed,2025-09-10T12:12:12Z,IN,videos,2025-09-17,https://www.youtube.com/watch?v=Bl64UYjozwk,6589450,0,52,"#ai,#ias,#shorts",54
18,CzLYvJPkF-Q,Indian woman soldier saved all the passengers in the plane 😭 #ai #army #airplane #save,ai short time ,2025-09-12T13:31:25Z,IN,videos,2025-09-17,https://www.youtube.com/watch?v=CzLYvJPkF-Q,6396854,63336,34,"#ai,#army,#airplane,#save",23
19,hcM-EnDI3O8,القطه مياو رمت بسبوس من الطياره... #cat  #animation  #ai  #funny  #funnyvideo,Meowverse,2025-09-11T11:47:36Z,IN,videos,2025-09-17,https://www.youtube.com/watch?v=hcM-EnDI3O8,6194958,89829,470,"#cat,#animation,#ai,#funny,#funnyvideo",56
20,0ILEtXNApnM,कितनी मछली पकड़ी🫨~mini wood toy /wood workingart skill/ wood /hand crafts #shorts #shortsfeed #viral,Gabri Funga,2025-09-10T15:36:12Z,IN,videos,2025-09-17,https://www.youtube.com/watch?v=0ILEtXNApnM,5720796,0,3,"#shorts,#shortsfeed,#viral,#ai,#trending,#viralshorts,#funny,#comedy,#aishorts,#aistory,#shortvideo,#new,#comedynew,#mrdeepakkfactas,#mrbeastshorts,#mrtechsaurabh,#trendingvideo,#short",9
1,RM9-6FfZdgg,Shocking! The poor kitten has the Transformer !#shorts  #cat  #ai  #story  #kitten #autobots,kitten Storys,2025-09-14T06:15:03Z,IN,shorts,2025-09-17,https://www.youtube.com/watch?v=RM9-6FfZdgg,51417963,300067,106,,17
2,Kgnjwlgf32U,Indian Army officer Saved the Plane Passengers By Throwing the Unclaimed Bag#ai #army,kahani Buzz,2025-09-12T13:30:31Z,IN,shorts,2025-09-17,https://www.youtube.com/watch?v=Kgnjwlgf32U,36949900,691438,736,"#ai,#army",32
3,9Ixo2EgTlRE,The soldier saved passengers from aeroplane mid-air crisis! #ai #army #ytshorts,ETC BackLol Facts,2025-09-12T13:30:09Z,IN,shorts,2025-09-17,https://www.youtube.com/watch?v=9Ixo2EgTlRE,33010899,0,149,"#ai,#army,#ytshorts",20
4,DPq_GzN9hWU,बिल्लू का मिक्सी में बना जूस 🙀#catsoftiktok​ #cat​ #cute​ #aiart​ #ai​ #poorcat​ #catlover​ #fyp,Ankit 👑,2025-09-11T03:45:00Z,IN,shorts,2025-09-17,https://www.youtube.com/watch?v=DPq_GzN9hWU,26039903,0,51,"#catsoftiktok,#cat,#cute,#aiart,#ai,#poorcat,#catlover,#fyp,#top,#1million,#reels,#tiktok,#funny,#1m,#trend,#instagram,#shorts,#kitten,#wtf,#viral,#4,#relax,#spiderman,#philippines,#myanmar,#india,#mexico,#unitedstates,#cheating,#aicat,#cutecat,#4k,#catvelpictures,#cats,#catvel,#marvel",28
5,IO01m122p1o,She Love's The Touch ❤️ pt2 #viral #shorts #ai #aisareedivas,AI Saree Divas,2025-09-10T13:57:11Z,IN,shorts,2025-09-17,https://www.youtube.com/watch?v=IO01m122p1o,15023106,42928,138,"#viral,#shorts,#ai,#aisareedivas",6
6,nrhrkDHdX9E,so cute HAHA ©️to the owner#ccto #eunwoo #ai  #youtube #youtubeshorts #trending #fypシ゚viral #astro,Eunwoocheee Fan 💫,2025-09-10T11:06:49Z,IN,shorts,2025-09-17,https://www.youtube.com/watch?v=nrhrkDHdX9E,9092577,90318,1619,"#ccto,#eunwoo,#ai,#youtube,#youtubeshorts,#trending,#fyp,#astro",6
7,8-v2UNQWqhU,The soldier saved pilot from airplane disaster in air! #ai #army #ytshorts,ETC BackLol Facts,2025-09-13T13:30:09Z,IN,shorts,2025-09-17,https://www.youtube.com/watch?v=8-v2UNQWqhU,8449799,0,24,"#ai,#army,#ytshorts",21
8,99nepSPkgfo,Phần 166: Capy và đám bạn nhảy hồ bơi #thientruongdaily #funny #ai #capybara,THIÊN TRƯỜNG DAILY,2025-09-11T10:33:38Z,IN,shorts,2025-09-17,https://www.youtube.com/watch?v=99nepSPkgfo,7765613,24679,114,"#thientruongdaily,#funny,#ai,#capybara",8
9,Av45KO6wW4o,Real life Vs AI. Part 21,Jiemba Sands,2025-09-12T13:00:31Z,IN,shorts,2025-09-17,https://www.youtube.com/watch?v=Av45KO6wW4o,7626841,187597,470,"#ai,#vs,#reallife",20
10,SLjMh8r9SMo,Husky Puppy's Clever Call for Help! 🐶👀 Mom Saved!...#ai #rescue #wildlife #animals,Catoo Mission,2025-09-10T17:27:16Z,IN,shorts,2025-09-17,https://www.youtube.com/watch?v=SLjMh8r9SMo,6960510,15062,13,"#ai,#rescue,#wildlife,#animals",8
11,v5hIeXLZims,😢RUMI was rescued by Mira and Zoey after the incident. #ai #kpop #funny #shorst #kpopdemonhunters,CuteVibes ,2025-09-11T19:00:53Z,IN,shorts,2025-09-17,https://www.youtube.com/watch?v=v5hIeXLZims,6921826,42142,15,"#ai,#kpop,#funny,#shorst,#kpopdemonhunters",20
12,U-WOsIR07Gs,The poor kitten and the Transformer Bumblebee save goldfish!#shorts #ai #cat#funny#cartoon#animation,kitten Storys,2025-09-11T07:30:13Z,IN,shorts,2025-09-17,https://www.youtube.com/watch?v=U-WOsIR07Gs,6892188,41002,15,,13
13,wWxFQtQ6cZw,चिंटू ने पापा का कोल्डड्रिंक चुराया 🥵 | #viral #facts #shortvideo #ai,SHORTCUT RIXX,2025-09-12T13:12:44Z,IN,shorts,2025-09-17,https://www.youtube.com/watch?v=wWxFQtQ6cZw,6686819,24766,1,"#viral,#facts,#shortvideo,#ai",8
14,Bl64UYjozwk,Indian IAS Officer Exposes Dowry Demand in a Wedding 💪❤️ #ai #ias #shorts,Genius Feed,2025-09-10T12:12:12Z,IN,shorts,2025-09-17,https://www.youtube.com/watch?v=Bl64UYjozwk,6589450,0,52,"#ai,#ias,#shorts",54
15,CzLYvJPkF-Q,Indian woman soldier saved all the passengers in the plane 😭 #ai #army #airplane #save,ai short time ,2025-09-12T13:31:25Z,IN,shorts,2025-09-17,https://www.youtube.com/watch?v=CzLYvJPkF-Q,6396854,63343,34,"#ai,#army,#airplane,#save",23
16,hcM-EnDI3O8,القطه مياو رمت بسبوس من الطياره... #cat  #animation  #ai  #funny  #funnyvideo,Meowverse,2025-09-11T11:47:36Z,IN,shorts,2025-09-17,https://www.youtube.com/watch?v=hcM-EnDI3O8,6194958,89830,470,"#cat,#animation,#ai,#funny,#funnyvideo",56
17,0ILEtXNApnM,कितनी मछली पकड़ी🫨~mini wood toy /wood workingart skill/ wood /hand crafts #shorts #shortsfeed #viral,Gabri Funga,2025-09-10T15:36:12Z,IN,shorts,2025-09-17,https://www.youtube.com/watch?v=0ILEtXNApnM,5720796,0,3,"#shorts,#shortsfeed,#viral,#ai,#trending,#viralshorts,#funny,#comedy,#aishorts,#aistory,#shortvideo,#new,#comedynew,#mrdeepakkfactas,#mrbeastshorts,#mrtechsaurabh,#trendingvideo,#short",9
18,EMVzz-k4oV0,AI Monkey vs Electric Hair Dryer #shorts,CrazyVers,2025-09-12T12:36:25Z,IN,shorts,2025-09-17,https://www.youtube.com/watch?v=EMVzz-k4oV0,5715138,35898,9,"#ai,#shorts,#funnymonkey,#bathroomdisaster,#viral",37
